N,Naučni naziv vrste,Srpski naziv vrste,Sinonimi,Porodica,Ilustracije,Ilustracije zenke,Silueta,Staniste,Boje,Boje zenke,Glavni tekst,,Dužina tela (cm),Raspon krila (cm),Masa (g),Ishrana,Gnezdarica/Negnezdarica,,Ugrožena (DA/NE)
122,Gallinula chloropus,Barska kokica,,barske koke (Rallidae),barska_kokica,,Sljukarice i barske koke; Patkolike ptice,vodena stanista,crna; crvena; plava; bela,,"Relativno česta ptica u barskim i močvarnim staništima i priobalju ravničarskih reka, u pojasevima rogoza i trske, gde svija gnezda u gustoj vegetaciji. Prepoznatljiva je po tamno braon leđima i krilima, dok je donja strana tela crne boje sa belim prugama na bokovima, upečatljivim žuto-crvenim kljunom i dugom zelenim nogama. Ima kratko i eksplozivno oglašavanje. ",365,32-35,50-55,250-400,"vodene biljke, semena, puževe, gliste, insekte i sitne ribe",Gnezdarica (oko 10 hiljada parova).,Prisutna tokom cele godine.,NE
120,Gallinago gallinago,Barska šljuka,,šljukarice (Scolopacidae),barska_sljuka,,Sljukarice i barske koke,vodena stanista,crna; bez; braon; bela,,"Barska ptica srednje veličine, sa kratkim nogama i dugim kljunom u odnosu na telu. Kamuflažno obojena sa svetlim uzdužnim prugama po leđima, belim trbuhom i tamnim prugama na glavi. Gnezda krije u barskim staništima, močvarama i vlažnim livadama sa gustim rastinjem. ",267,23-28,39-45,80-120,"sitni beskičmenjaci, uključujući gliste i larve insekata",Gnezdarica (manje od 10 parova).,"Redovna na seobi, malobrojna na zimovanju.",DA
104,Emberiza schoeniclus,Barska strnadica,,strnadice (Emberizidae),barska_strnadica_m; barska_strnadica_z,barska_strnadica_z; barska_strnadica_m,Ptice pevacice,vodena stanista,braon; crna; bela,,"Jedina strnadica koja se gnezdi u trsci i najbrojnija je na području Vojvodine. Mužjak u doba gnežđenja dobija potpuno crnu glavu. Često stoji u gornjoj polovini vlati trske odakle peva svoju diskretnu pesmu. Van sezone gnežđenja okuplja se u manja i osim bara i močvara viđa se i na drugim otvorenim terenima poput njiva i parloga. U slučaju opasnosti po polog i mladunce, odrasle ptice se pretvaraju da su povređene i na taj način odvlače grabljivca od gnezda.",462,"15-16,5",21-28,16-25,"semenje, insekti",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
216,Rallus aquaticus,Barski petlovan,,barske koke (Rallidae),barski_petlovan,,Sljukarice i barske koke,vodena stanista,crna; zuta; braon; siva; bela,,"Stanovnik vodenih staništa, mahom u Vojvodini. Uglavnom je skriven u tršćacima i drugom priobalnom rastinju, gde ga odaje oglašavanje nalik skičanju praseta. Od najsličnijih barskih petlića ima znatno duži i zakrivljen crveni kljun.",232,23-28,38-45,80-180,"sitna riba, puževi, insekti i dr",Gnezdarica (do 10 hiljada parova).,Prisutna tokom cele godine.,NE
76,Coccothraustes coccothraustes,Batokljun,,zebe (Fringillidae),batokljun_m; batokljun_z,batokljun_z; batokljun_m,Ptice pevacice,sume; sikare i zbunjaci; mesovita stanista; naselja,siva; braon; narandzasta; bez; plava; bela; crna,,"Krupna šarena zeba izrazito snažnog kljuna. Stanovnik je šuma i mozaičnih predela, gde se uglavnom drži visokih krošnji i ostaje neprimećena. Gnezdi se tokom proleća i leta, a na jesen i zimu formira manja jata. Povremeno zimi posećuje i hranilice.",248,18,29-33,48-62,"semenje, pupoljci i izdanci",Gnezdarica (do 100 hiljada parova).,Prisutna tokom cele godine.,NE
240,Tachymarptis melba,Bela čiopa,x,čiope (Apodidae),bela_ciopa,,Laste i ciope,"kamenjari, litice i odseci; naselja",crna; bela,,"Najveća čiopa kod nas i jedina koja i dalje naseljava stene i litice, mahom istočne Srbije. Nedavno je posmatrana i u centru Beograda uz verovatno gnežđenje. Od svojih tamnih srodnika, crne i sive čiope, razlikuje se jasno po belom stomaku, veličini i oglašavanju. Zimuje u Africi.",281,20-22,76-120,54-60,insekti,Gnezdarica (manje od 100 parova).,Posmatrana i na seobi.,DA
160,Motacilla alba,Bela pliska,,pliske (Motacillidae),bela_pliska,,Ptice pevacice,"travnjaci; mesovita stanista; kamenjari, litice i odseci; naselja; vodena stanista",bela; siva; crna,,"Jedna od čestih ptica raznolikih staništa u blizini vode - od bara i kanala u poljoprivrednim krajevima do potoka i rečica u brdsko-planinskim područjima, kao i u naseljima. Upečatljiva je po crno-belim nijansama i dugom repu u odnosu na telo, koji, kao i druge pliske, pomera gore-dole dok hoda po tlu u potrazi za hranom. U toku jeseni i zime se može videti i u većim grupama i jatima u blizini vode.",402,16-19,25-30,17-25,insekti,Gnezdarica (do 100 hiljada parova).,"Redovna na seobi, retka na zimovanju.",NE
69,Ciconia ciconia,Bela roda,x,rode (Ciconiidae),bela_roda_1; bela_roda_2,,Capljolike ptice,travnjaci; njive; naselja; vodena stanista,bela; crna,,"Vesnik proleća i lepšeg vremena. Dugačak crveni kljun i noge su glavna karakteristika ove vrste. Gnezdi se na električnim stubovima, krovovima kuća, a ređe i na drveću unutar naselja. Iz Afrike dolazi u martu, a odlazi tokom avgusta i septembra. Hrani se na otvorenim područjima poput njiva, livada i zamočvarenih terena. Ugrožena strujnim udarima i trovanjem.",360,100-102,155-165,2275-4400,"beskičmenjaci, žabe, gmizavci, sitni sisari i riba",Gnezdarica (do 10 hiljada parova).,"Redovna i na seobi, izuzetno i prezimljava.",NE
65,Chlidonias hybrida,Belobrka čigra,x,galebovi (Laridae),belobrka_cigra_1; belobrka_cigra_2,,Galebovi i cigre,vodena stanista,crna; siva; bela,,"Po obliku i letu slična džinovskoj lastavici. Naša najčešća i najbrojnija čigra. Sreće se na ribnjacima, barama i drugim vodenim površinama. Gnezdi se mahom na listovima lokvanja.",179,23-29,64-70,60-101,"insekti, sitna riba, vodozemci, rakovi",Gnezdarica (do 10 hiljada parova).,Redovna i na seobi.,NE
127,Gyps fulvus,Beloglavi sup,,orlovi i jastrebovi (Accipitridae),beloglavi_sup,,Dnevne grabljivice,"mesovita stanista; kamenjari, litice i odseci",crna; braon; bela,,"Jedina vrsta lešinara koja je opstala na gnežđenju u Srbiji, a ujedno i ptica sa najvećim rasponom krila sa kojom se redovno možete sresti. Obrazuje gnezdeće kolonije različite veličine i brojnosti, najčešće na nepristupačnim liticama i klisurama. Lako je prepoznatljiv po dugom belom vratu i glavi, kao i beloj ogrlici kod odraslih ptica. Telo je svetlobraon, dok su letna pera krila i repa crne boje.",402,95-110,230-265,8000-9000,lešine,Gnezdarica (manje od hiljadu parova).,Prisutna tokom cele godine.,NE
